Year,Ice  Cover  Duration  on  Lake  Mendota,Max Ice Thickness of Lake Mendota
1875,91,8.22
1880,161,25.34
1885,128,18.58
1890,111,11.65
1895,91,12.33
1900,111,18.69
1905,97,10.12
1910,101,13.43
1915,102,17.71
1920,81,3.35
1925,124,18.78
1930,98,9.84
1935,101,26.43
1940,96,16.57
1945,98,17.04
1950,122,22.61
1955,114,20.24
1960,108,13.95
1965,65,18.58
1970,110,18.00
1975,88,14.23
1980,93,11.53
1985,107,24.69
1990,88,18.84
1995,119,14.39
2000,115,23.83
2005,95,12.46
2010,87,18.56
2015,62,12.41